Performance Statistics   2020-05-03 00:00:00 - 2020-05-03 00:02:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
report$PivotTableEdit#xml                                0.0           0           0         0.0           4
report$Report.browse#afterShow                           0.0           0           0         0.0           2
report$Report.browse#beforeShow                          0.0           0           0         0.0           2
report$Report.browse#create                              5.5           5           6         0.5           2
report$Report.browse#init                                1.0           1           1         0.0           2
report$Report.browse#inject                              0.0           0           0         0.0           2
report$Report.browse#load                               57.5          56          59         1.5           2
report$Report.browse#uiPermissions                       0.0           0           0         0.0           2
report$Report.browse#xml                                 0.8           0           3         1.3           4
report$Report.browse.lookupWindowActions#init            0.0           0           0         0.0           2
report$Report.browse@reportDs                           16.0          15          17         1.0           2
report$Report.edit#afterShow                             0.0           0           0         0.0           2
report$Report.edit#beforeShow                            0.0           0           0         0.0           2
report$Report.edit#companion                             0.0           0           0         0.0           2
report$Report.edit#create                                5.0           5           5         0.0           2
report$Report.edit#init                                 45.0          44          46         1.0           2
report$Report.edit#inject                                0.5           0           1         0.5           2
report$Report.edit#load                                873.0         858         888        15.0           2
report$Report.edit#uiPermissions                         0.0           0           0         0.0           2
report$Report.edit#xml                                   0.4           0           3         0.9          10
report$Report.edit.formatsFrame#init                     0.0           0           0         0.0           2
report$Report.edit.formatsFrame#inject                   0.0           0           0         0.0           2
report$Report.edit.formatsFrame#load                     1.0           1           1         0.0           2
report$Report.edit.generalFrame#init                     0.0           0           0         0.0           2
report$Report.edit.generalFrame#inject                   0.0           0           0         0.0           2
report$Report.edit.generalFrame#load                   455.0         451         459         4.0           2
report$Report.edit.generalFrame.bandEditor#init          0.0           0           0         0.0           2
report$Report.edit.generalFrame.bandEditor#inject         0.0           0           0         0.0           2
report$Report.edit.generalFrame.bandEditor#load        279.5         274         285         5.5           2
report$Report.edit.localesFrame#init                     0.0           0           0         0.0           2
report$Report.edit.localesFrame#inject                   0.0           0           0         0.0           2
report$Report.edit.localesFrame#load                    23.5          22          25         1.5           2
report$Report.edit.parametersFrame#init                  0.0           0           0         0.0           2
report$Report.edit.parametersFrame#inject                0.0           0           0         0.0           2
report$Report.edit.parametersFrame#load                 47.0          46          48         1.0           2
report$Report.edit.securityFrame#init                    0.0           0           0         0.0           2
report$Report.edit.securityFrame#inject                  0.0           0           0         0.0           2
report$Report.edit.securityFrame#load                    2.5           2           3         0.5           2
report$Report.edit.templatesFrame#init                   0.0           0           0         0.0           2
report$Report.edit.templatesFrame#inject                 0.0           0           0         0.0           2
report$Report.edit.templatesFrame#load                   1.0           1           1         0.0           2
report$Report.edit@groupsDs                             13.0          12          14         1.0           2
report$ReportTemplate.edit#afterShow                     2.5           2           3         0.5           2
report$ReportTemplate.edit#beforeShow                    0.0           0           0         0.0           2
report$ReportTemplate.edit#create                        6.5           6           7         0.5           2
report$ReportTemplate.edit#init                          0.0           0           0         0.0           2
report$ReportTemplate.edit#inject                        0.0           0           0         0.0           2
report$ReportTemplate.edit#load                        906.0         898         914         8.0           2
report$ReportTemplate.edit#uiPermissions                 0.0           0           0         0.0           2
report$ReportTemplate.edit#xml                           0.3           0           2         0.6          10
report$ReportTemplate.edit.chartEdit#init                1.5           1           2         0.5           2
report$ReportTemplate.edit.chartEdit#inject              0.0           0           0         0.0           2
report$ReportTemplate.edit.chartEdit#load              287.5         280         295         7.5           2
report$ReportTemplate.edit.pivotTableEdit#init          64.0           8         120        56.0           2
report$ReportTemplate.edit.pivotTableEdit#inject         0.0           0           0         0.0           2
report$ReportTemplate.edit.pivotTableEdit#load         217.0         211         223         6.0           2
report$ReportTemplate.edit.tableEdit#init                0.0           0           0         0.0           2
report$ReportTemplate.edit.tableEdit#inject              0.0           0           0         0.0           2
report$ReportTemplate.edit.tableEdit#load                1.5           1           2         0.5           2
report$ReportTemplate.edit.windowActions#init            0.0           0           0         0.0           2
report$ReportTemplate.edit.windowActions#inject          0.0           0           0         0.0           2
report$ReportTemplate.edit.windowActions#load            0.0           0           0         0.0           2
report$TableEditFrame#create                            29.0          29          29         0.0           2
report$TableEditFrame#xml                                0.0           0           0         0.0           4
securityFrame#create                                    46.0          46          46         0.0           2
securityFrame#xml                                        0.0           0           0         0.0           4
templatesFrame#create                                   18.5          18          19         0.5           2
templatesFrame#xml                                       0.0           0           0         0.0           4
teststp_Debitor.browse#afterShow                         0.0           0           0         0.0           1
teststp_Debitor.browse#beforeShow                       10.0          10          10         0.0           1
teststp_Debitor.browse#create                            6.0           6           6         0.0           1
teststp_Debitor.browse#init                              0.0           0           0         0.0           1
teststp_Debitor.browse#inject                            0.0           0           0         0.0           1
teststp_Debitor.browse#load                             57.0          57          57         0.0           1
teststp_Debitor.browse#uiPermissions                     0.0           0           0         0.0           1
teststp_Debitor.browse#xml                               1.0           1           1         0.0           1

Performance Statistics   2020-05-03 00:08:00 - 2020-05-03 00:10:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 00:10:00 - 2020-05-03 00:12:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 16:18:00 - 2020-05-03 16:20:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
login#afterShow                                          0.0           0           0         0.0           1
login#beforeShow                                         3.0           3           3         0.0           1
login#create                                           176.0         176         176         0.0           1
login#init                                              22.0          22          22         0.0           1
login#inject                                            49.0          49          49         0.0           1
login#load                                             775.0         775         775         0.0           1
login#uiPermissions                                      1.0           1           1         0.0           1
login#xml                                               13.0          13          13         0.0           1
main#afterShow                                          15.0          15          15         0.0           1
main#beforeShow                                          0.0           0           0         0.0           1
main#create                                             28.0          28          28         0.0           1
main#init                                               28.0          28          28         0.0           1
main#inject                                             10.0          10          10         0.0           1
main#load                                              322.0         322         322         0.0           1
main#uiPermissions                                       0.0           0           0         0.0           1
main#xml                                                 4.0           4           4         0.0           1

Performance Statistics   2020-05-03 16:20:00 - 2020-05-03 16:22:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.teststp_Debitor.browse                       1247.0        1247        1247         0.0           1
teststp_Debitor.browse#afterShow                         0.0           0           0         0.0           1
teststp_Debitor.browse#beforeShow                       95.0          95          95         0.0           1
teststp_Debitor.browse#create                           27.0          27          27         0.0           1
teststp_Debitor.browse#init                              4.0           4           4         0.0           1
teststp_Debitor.browse#inject                            4.0           4           4         0.0           1
teststp_Debitor.browse#load                            930.0         930         930         0.0           1
teststp_Debitor.browse#uiPermissions                     0.0           0           0         0.0           1
teststp_Debitor.browse#xml                               6.0           6           6         0.0           1

Performance Statistics   2020-05-03 16:22:00 - 2020-05-03 16:24:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
commonLookup#afterShow                                   0.0           0           0         0.0           1
commonLookup#beforeShow                                  1.0           1           1         0.0           1
commonLookup#create                                      6.0           6           6         0.0           1
commonLookup#init                                      131.0         131         131         0.0           1
commonLookup#inject                                     16.0          16          16         0.0           1
commonLookup#load                                        2.0           2           2         0.0           1
commonLookup#uiPermissions                               0.0           0           0         0.0           1
commonLookup#xml                                         1.5           0           3         1.5           2
commonLookup.lookupWindowActions#init                    0.0           0           0         0.0           1
commonLookup@entitiesDs                                 19.0          19          19         0.0           1
login#afterShow                                          0.0           0           0         0.0           1
login#beforeShow                                         0.0           0           0         0.0           1
login#create                                            11.0          11          11         0.0           1
login#init                                               0.0           0           0         0.0           1
login#inject                                             1.0           1           1         0.0           1
login#load                                              45.0          45          45         0.0           1
login#uiPermissions                                      0.0           0           0         0.0           1
login#xml                                                7.0           7           7         0.0           1
lookupWindowActions#create                              18.0           6          30        12.0           2
lookupWindowActions#inject                               7.5           0          15         7.5           2
lookupWindowActions#load                                 9.5           5          14         4.5           2
lookupWindowActions#xml                                  0.5           0           2         0.9           4
report$Report.run#afterShow                              0.0           0           0         0.0           1
report$Report.run#beforeShow                            15.0          15          15         0.0           1
report$Report.run#create                               160.0         160         160         0.0           1
report$Report.run#init                                 535.0         535         535         0.0           1
report$Report.run#inject                                41.0          41          41         0.0           1
report$Report.run#load                                 206.0         206         206         0.0           1
report$Report.run#uiPermissions                          0.0           0           0         0.0           1
report$Report.run#xml                                    1.5           0           3         1.5           2
report$Report.run.lookupWindowActions#init               0.0           0           0         0.0           1
report$Report.run@reportGroupsDs                       362.0         362         362         0.0           1
report$inputParameters#afterShow                         2.0           2           2         0.0           1
report$inputParameters#beforeShow                        0.0           0           0         0.0           1
report$inputParameters#create                           89.0          89          89         0.0           1
report$inputParameters#init                              0.0           0           0         0.0           1
report$inputParameters#inject                           26.0          26          26         0.0           1
report$inputParameters#load                             84.0          84          84         0.0           1
report$inputParameters#uiPermissions                     0.0           0           0         0.0           1
report$inputParameters#xml                               1.5           0           3         1.5           2
report$inputParameters.inputParametersFrame#init       578.0         578         578         0.0           1
report$inputParameters.inputParametersFrame#inject        15.0          15          15         0.0           1
report$inputParameters.inputParametersFrame#load         7.0           7           7         0.0           1
report$inputParameters.inputParametersFrame@templateReportsDs        38.0          38          38         0.0           1
report$inputParametersFrame#create                      56.0          56          56         0.0           1
report$inputParametersFrame#xml                          1.0           0           2         1.0           2

Performance Statistics   2020-05-03 16:24:00 - 2020-05-03 16:26:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 16:26:00 - 2020-05-03 16:28:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 16:28:00 - 2020-05-03 16:30:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 16:30:00 - 2020-05-03 16:32:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 16:32:00 - 2020-05-03 16:34:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 16:34:00 - 2020-05-03 16:36:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 16:36:00 - 2020-05-03 16:38:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 16:38:00 - 2020-05-03 16:40:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 16:40:00 - 2020-05-03 16:42:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 16:42:00 - 2020-05-03 16:44:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 16:44:00 - 2020-05-03 16:46:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 16:46:00 - 2020-05-03 16:48:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 16:48:00 - 2020-05-03 16:50:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 16:50:00 - 2020-05-03 16:52:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 16:52:00 - 2020-05-03 16:54:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 16:54:00 - 2020-05-03 16:56:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 16:56:00 - 2020-05-03 16:58:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 16:58:00 - 2020-05-03 17:00:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 17:00:00 - 2020-05-03 17:02:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 17:02:00 - 2020-05-03 17:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 17:04:00 - 2020-05-03 17:06:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 17:06:00 - 2020-05-03 17:08:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 17:08:00 - 2020-05-03 17:10:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 17:10:00 - 2020-05-03 17:12:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 17:12:00 - 2020-05-03 17:14:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 17:14:00 - 2020-05-03 17:16:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 17:16:00 - 2020-05-03 17:18:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 17:18:00 - 2020-05-03 17:20:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-03 17:20:00 - 2020-05-03 17:22:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

